MODEL            HORIZON TrainN TestN PearsonIC SpearmanIC  HitRate HitZ Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------ ----- --------- ----------- ------- ---- ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 15m     75754  32467 0.0182    0.0024      0.502   0.56 -0.010 +3.2        +0.9           -2.3            0.039    0.012 -0.0000
Hawkes_Intensity 30m     75754  32467 0.0048    0.0121      0.506   1.99 -0.011 +4.0        -0.5           -4.5            0.039    0.012 -0.0003
Hawkes_Intensity 1h      75754  32467 0.0037    0.0386      0.513   4.51 -0.017 +9.5        -1.3           -10.8           0.041    0.012 -0.0009

Hawkes_OFI 15m 75754 32467 -0.0029 -0.0030 0.497 -0.94 -0.002 +3.3 +0.1 -3.2 0.027 0.008 -0.0001
Hawkes_OFI 30m 75754 32467 -0.0071 -0.0027 0.498 -0.77 -0.013 +4.3 +0.2 -4.2 0.028 0.008 -0.0002
Hawkes_OFI 1h  75754 32467 -0.0016 -0.0155 0.502 0.55  -0.025 +9.3 +0.8 -8.5 0.028 0.009 -0.0008

Sig_LevyArea 15m 75754 32467 -0.0024 0.0094 0.502 0.84 -0.008 +0.6 -4.7  -5.3  0.078 0.024 -0.0003
Sig_LevyArea 30m 75754 32467 -0.0104 0.0205 0.507 2.35 -0.010 -4.9 -12.1 -7.2  0.085 0.026 -0.0006
Sig_LevyArea 1h  75754 32467 -0.0115 0.0561 0.513 4.66 -0.017 -2.2 -16.2 -14.0 0.095 0.028 -0.0012

Hilbert_Phase 15m 75754 32467 0.0019  -0.0156 0.489 -3.91 0.003  +1.4 +0.7 -0.7 0.006 0.002 0.0000
Hilbert_Phase 30m 75754 32467 -0.0029 -0.0112 0.492 -2.73 -0.003 +2.4 +0.5 -1.9 0.004 0.001 -0.0002
Hilbert_Phase 1h  75754 32467 -0.0112 -0.0280 0.484 -5.69 -0.014 -2.2 -0.7 +1.5 0.005 0.002 -0.0003



# Rolling OOS metrics (test segment only)
MODEL            HORIZON WIN Count PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- --- ----- --------- ----------- ------- ------
Hawkes_Intensity 15m     0   4058  0.0551    0.0429      0.492   0.021
Hawkes_Intensity 15m     1   4058  -0.0275   -0.0439     0.515   0.041
Hawkes_Intensity 15m     2   4058  0.0066    -0.0065     0.479   -0.054
Hawkes_Intensity 15m     3   4058  0.0278    -0.0179     0.497   -0.018
Hawkes_Intensity 15m     4   4058  -0.0294   -0.0127     0.511   -0.050
Hawkes_Intensity 15m     5   4058  0.0422    -0.0392     0.507   -0.040
Hawkes_Intensity 15m     6   4058  0.0372    -0.0284     0.536   0.050
Hawkes_Intensity 15m     7   4061  0.0295    0.0647      0.475   -0.092
Hawkes_Intensity 30m     0   4058  0.0364    0.0279      0.500   0.040
Hawkes_Intensity 30m     1   4058  -0.0580   -0.0473     0.510   0.053
Hawkes_Intensity 30m     2   4058  0.0239    0.0209      0.496   -0.062
Hawkes_Intensity 30m     3   4058  -0.0126   -0.0308     0.498   -0.027
Hawkes_Intensity 30m     4   4058  -0.0115   -0.0175     0.504   -0.072
Hawkes_Intensity 30m     5   4058  -0.0017   -0.0290     0.505   -0.048
Hawkes_Intensity 30m     6   4058  0.0148    -0.0343     0.563   0.073
Hawkes_Intensity 30m     7   4061  0.0689    0.0943      0.469   -0.134
Hawkes_Intensity 1h      0   4058  0.0312    0.0652      0.536   0.069
Hawkes_Intensity 1h      1   4058  -0.0588   -0.0571     0.536   0.068
Hawkes_Intensity 1h      2   4058  0.0134    0.0284      0.507   -0.075
Hawkes_Intensity 1h      3   4058  -0.0191   0.0005      0.511   -0.039
Hawkes_Intensity 1h      4   4058  -0.0124   0.0099      0.468   -0.128
Hawkes_Intensity 1h      5   4058  -0.0056   -0.0219     0.515   -0.060
Hawkes_Intensity 1h      6   4058  -0.0049   -0.0469     0.597   0.094
Hawkes_Intensity 1h      7   4061  0.1077    0.1188      0.429   -0.210

Hawkes_OFI 15m 0 4058 -0.0001 -0.0192 0.476 -0.017
Hawkes_OFI 15m 1 4058 -0.0044 -0.0059 0.492 -0.000
Hawkes_OFI 15m 2 4058 0.0052  0.0093  0.490 -0.001
Hawkes_OFI 15m 3 4058 0.0057  -0.0171 0.494 -0.012
Hawkes_OFI 15m 4 4058 0.0549  0.0016  0.517 0.007
Hawkes_OFI 15m 5 4058 0.0096  -0.0072 0.507 -0.006
Hawkes_OFI 15m 6 4058 0.0117  0.0109  0.535 0.090
Hawkes_OFI 15m 7 4061 -0.0541 -0.0107 0.468 -0.109
Hawkes_OFI 30m 0 4058 -0.0050 -0.0109 0.485 -0.030
Hawkes_OFI 30m 1 4058 -0.0386 -0.0222 0.490 -0.010
Hawkes_OFI 30m 2 4058 0.0083  0.0309  0.492 -0.008
Hawkes_OFI 30m 3 4058 0.0366  0.0179  0.493 -0.008
Hawkes_OFI 30m 4 4058 -0.0003 -0.0254 0.499 -0.045
Hawkes_OFI 30m 5 4058 0.0600  0.0191  0.509 0.002
Hawkes_OFI 30m 6 4058 0.0356  -0.0178 0.547 0.083
Hawkes_OFI 30m 7 4061 -0.0149 0.0259  0.468 -0.136
Hawkes_OFI 1h  0 4058 0.0396  0.0430  0.511 0.010
Hawkes_OFI 1h  1 4058 -0.0092 0.0037  0.499 -0.014
Hawkes_OFI 1h  2 4058 -0.0004 0.0086  0.489 -0.042
Hawkes_OFI 1h  3 4058 0.0521  0.0111  0.503 -0.015
Hawkes_OFI 1h  4 4058 -0.0665 -0.0395 0.472 -0.120
Hawkes_OFI 1h  5 4058 0.0580  0.0293  0.526 -0.013
Hawkes_OFI 1h  6 4058 0.0759  -0.0199 0.586 0.116
Hawkes_OFI 1h  7 4061 -0.0538 -0.0069 0.426 -0.230

Sig_LevyArea 15m 0 4058 0.0664  0.0518  0.493 0.022
Sig_LevyArea 15m 1 4058 -0.0023 0.0043  0.520 0.052
Sig_LevyArea 15m 2 4058 -0.0275 -0.0653 0.480 -0.052
Sig_LevyArea 15m 3 4058 -0.0620 0.0266  0.497 -0.016
Sig_LevyArea 15m 4 4058 -0.0262 0.0236  0.511 -0.051
Sig_LevyArea 15m 5 4058 -0.1089 0.0134  0.507 -0.040
Sig_LevyArea 15m 6 4058 -0.0197 -0.0494 0.535 0.049
Sig_LevyArea 15m 7 4061 0.1307  0.0959  0.475 -0.092
Sig_LevyArea 30m 0 4058 0.0528  0.0630  0.502 0.041
Sig_LevyArea 30m 1 4058 -0.0016 -0.0080 0.516 0.059
Sig_LevyArea 30m 2 4058 -0.0360 -0.0679 0.495 -0.067
Sig_LevyArea 30m 3 4058 -0.1154 0.0156  0.500 -0.023
Sig_LevyArea 30m 4 4058 -0.0218 0.0256  0.503 -0.071
Sig_LevyArea 30m 5 4058 -0.1480 0.0083  0.505 -0.048
Sig_LevyArea 30m 6 4058 -0.0653 -0.0468 0.563 0.074
Sig_LevyArea 30m 7 4061 0.2072  0.1753  0.469 -0.134
Sig_LevyArea 1h  0 4058 0.0190  0.0687  0.537 0.070
Sig_LevyArea 1h  1 4058 -0.0004 0.0085  0.534 0.062
Sig_LevyArea 1h  2 4058 -0.0482 -0.0282 0.509 -0.072
Sig_LevyArea 1h  3 4058 -0.0898 0.0427  0.513 -0.036
Sig_LevyArea 1h  4 4058 -0.0806 0.0832  0.468 -0.129
Sig_LevyArea 1h  5 4058 -0.1201 -0.0498 0.515 -0.060
Sig_LevyArea 1h  6 4058 -0.1032 -0.0314 0.599 0.095
