MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 15m     2052285 879551 0.0032    0.0041      0.509   17.49 0.002  +0.4        +0.5           +0.1            0.040    0.012 -0.0000
Hawkes_Intensity 30m     2052285 879551 0.0096    0.0068      0.511   20.47 0.003  +1.0        +1.3           +0.2            0.036    0.011 -0.0000
Hawkes_Intensity 1h      2052285 879551 0.0116    0.0093      0.515   28.09 0.005  +1.8        +2.1           +0.3            0.034    0.010 -0.0000

Hawkes_OFI 15m 2052285 879551 -0.0204 -0.0219 0.491 -16.75 -0.008 -1.2 -0.5 +0.7 0.032 0.010 0.0002
Hawkes_OFI 30m 2052285 879551 -0.0276 -0.0290 0.487 -24.85 -0.012 -2.1 -1.0 +1.1 0.029 0.009 0.0003
Hawkes_OFI 1h  2052285 879551 -0.0255 -0.0237 0.490 -18.10 -0.010 -2.4 -0.6 +1.8 0.027 0.008 0.0001

Sig_LevyArea 15m 2052285 879551 0.0186 0.0056 0.509 17.45 0.002 +0.1 +0.4 +0.3 0.103 0.031 -0.0000
Sig_LevyArea 30m 2052285 879551 0.0261 0.0087 0.511 20.41 0.003 +0.4 +0.8 +0.3 0.095 0.029 -0.0000
Sig_LevyArea 1h  2052285 879551 0.0180 0.0107 0.515 27.88 0.004 +1.5 +2.4 +0.9 0.087 0.026 -0.0000

Hilbert_Phase 15m 2052285 879551 -0.0016 -0.0146 0.492 -15.78 -0.001 -0.0 -0.3 -0.2 0.001 0.000 0.0001
Hilbert_Phase 30m 2052285 879551 -0.0023 -0.0177 0.489 -20.56 -0.002 -0.3 -0.4 -0.1 0.001 0.000 0.0002
Hilbert_Phase 1h  2052285 879551 -0.0005 -0.0117 0.493 -12.88 0.001  -0.1 -0.1 -0.0 0.001 0.000 0.0000



# Rolling OOS metrics (test segment only)
MODEL            HORIZON WIN Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- --- -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     0   109943 0.0201    0.0099      0.509   0.007
Hawkes_Intensity 15m     1   109943 0.0087    0.0073      0.513   -0.003
Hawkes_Intensity 15m     2   109943 0.0007    0.0092      0.511   0.004
Hawkes_Intensity 15m     3   109943 0.0191    0.0170      0.514   0.006
Hawkes_Intensity 15m     4   109943 -0.0245   -0.0069     0.498   -0.008
Hawkes_Intensity 15m     5   109943 -0.0035   -0.0024     0.510   0.003
Hawkes_Intensity 15m     6   109943 0.0167    0.0038      0.516   0.025
Hawkes_Intensity 15m     7   109950 -0.0036   -0.0046     0.504   -0.004
Hawkes_Intensity 30m     0   109943 0.0259    0.0087      0.509   0.009
Hawkes_Intensity 30m     1   109943 0.0226    0.0080      0.516   -0.005
Hawkes_Intensity 30m     2   109943 0.0074    0.0084      0.511   0.005
Hawkes_Intensity 30m     3   109943 0.0245    0.0283      0.513   0.006
Hawkes_Intensity 30m     4   109943 -0.0140   -0.0037     0.496   -0.012
Hawkes_Intensity 30m     5   109943 -0.0061   0.0025      0.511   0.005
Hawkes_Intensity 30m     6   109943 0.0077    0.0032      0.522   0.033
Hawkes_Intensity 30m     7   109950 0.0055    0.0003      0.509   -0.006
Hawkes_Intensity 1h      0   109943 0.0277    0.0074      0.514   0.017
Hawkes_Intensity 1h      1   109943 0.0248    0.0060      0.520   -0.007
Hawkes_Intensity 1h      2   109943 0.0109    0.0145      0.515   0.007
Hawkes_Intensity 1h      3   109943 0.0338    0.0364      0.518   0.005
Hawkes_Intensity 1h      4   109943 -0.0189   0.0069      0.499   -0.014
Hawkes_Intensity 1h      5   109943 -0.0068   0.0082      0.519   0.011
Hawkes_Intensity 1h      6   109943 0.0044    -0.0044     0.529   0.044
Hawkes_Intensity 1h      7   109950 0.0095    0.0012      0.508   -0.008

Hawkes_OFI 15m 0 109943 -0.0009 -0.0219 0.490 -0.001
Hawkes_OFI 15m 1 109943 -0.0010 -0.0397 0.484 -0.018
Hawkes_OFI 15m 2 109943 -0.0373 -0.0302 0.491 -0.021
Hawkes_OFI 15m 3 109943 -0.0108 -0.0022 0.501 0.007
Hawkes_OFI 15m 4 109943 -0.0160 -0.0217 0.490 -0.008
Hawkes_OFI 15m 5 109943 -0.0391 -0.0374 0.488 -0.032
Hawkes_OFI 15m 6 109943 0.0088  0.0046  0.499 0.003
Hawkes_OFI 15m 7 109950 -0.0483 -0.0296 0.486 -0.009
Hawkes_OFI 30m 0 109943 -0.0163 -0.0250 0.489 -0.005
Hawkes_OFI 30m 1 109943 -0.0063 -0.0481 0.479 -0.020
Hawkes_OFI 30m 2 109943 -0.0319 -0.0251 0.492 -0.014
Hawkes_OFI 30m 3 109943 -0.0164 -0.0185 0.492 0.001
Hawkes_OFI 30m 4 109943 -0.0152 -0.0371 0.482 -0.014
Hawkes_OFI 30m 5 109943 -0.0422 -0.0470 0.480 -0.045
Hawkes_OFI 30m 6 109943 -0.0009 -0.0121 0.492 -0.009
Hawkes_OFI 30m 7 109950 -0.0606 -0.0256 0.489 -0.011
Hawkes_OFI 1h  0 109943 -0.0129 -0.0137 0.496 0.000
