MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ---- ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 15m     1894794 812055 0.0198    0.0027      0.501   2.56 -0.000 +1.1        +1.1           -0.0            0.055    0.017 -0.0000
Hawkes_Intensity 30m     1894794 812055 0.0205    0.0048      0.502   3.38 -0.001 +2.6        +2.4           -0.2            0.051    0.015 0.0000
Hawkes_Intensity 1h      1894794 812055 0.0252    0.0070      0.504   7.91 -0.002 +6.5        +6.1           -0.3            0.044    0.013 -0.0000

Hawkes_OFI 15m 1894794 812055 -0.0241 -0.0257 0.491 -15.92 -0.005 -2.0 -0.5 +1.5 0.029 0.009 0.0002
Hawkes_OFI 30m 1894794 812055 -0.0418 -0.0275 0.491 -16.28 -0.008 -4.8 -1.1 +3.6 0.027 0.008 0.0003
Hawkes_OFI 1h  1894794 812055 -0.0367 -0.0261 0.491 -16.42 -0.009 -7.8 -2.0 +5.8 0.024 0.007 0.0003

Sig_LevyArea 15m 1894794 812055 0.0274 0.0071 0.501 2.58 -0.001 +1.3 +1.1 -0.2 0.073 0.022 0.0001
Sig_LevyArea 30m 1894794 812055 0.0369 0.0082 0.502 3.75 -0.001 +3.4 +2.6 -0.7 0.070 0.021 0.0001
Sig_LevyArea 1h  1894794 812055 0.0323 0.0078 0.504 8.06 -0.002 +6.2 +5.4 -0.8 0.062 0.019 0.0000

Hilbert_Phase 15m 1894794 812055 -0.0040 -0.0209 0.486 -24.91 -0.003 -0.4 -0.6 -0.2 0.001 0.000 0.0002
Hilbert_Phase 30m 1894794 812055 -0.0064 -0.0213 0.486 -25.38 -0.007 -0.7 -1.0 -0.3 0.001 0.000 0.0002
Hilbert_Phase 1h  1894794 812055 -0.0063 -0.0187 0.488 -21.77 -0.006 -1.5 -1.7 -0.2 0.001 0.000 0.0002



# Rolling OOS metrics (test segment only)
MODEL            HORIZON WIN Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- --- -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     0   101506 -0.0034   0.0134      0.502   -0.008
Hawkes_Intensity 15m     1   101506 0.0079    -0.0019     0.504   -0.002
Hawkes_Intensity 15m     2   101506 0.0229    0.0095      0.514   0.027
Hawkes_Intensity 15m     3   101506 0.0228    -0.0001     0.500   -0.011
Hawkes_Intensity 15m     4   101506 0.0204    -0.0160     0.495   -0.013
Hawkes_Intensity 15m     5   101506 -0.0099   0.0100      0.500   0.001
Hawkes_Intensity 15m     6   101506 0.0115    0.0033      0.506   0.008
Hawkes_Intensity 15m     7   101513 0.0474    -0.0032     0.491   -0.009
Hawkes_Intensity 30m     0   101506 -0.0038   0.0176      0.500   -0.012
Hawkes_Intensity 30m     1   101506 0.0143    0.0023      0.507   -0.003
Hawkes_Intensity 30m     2   101506 0.0211    0.0123      0.516   0.037
Hawkes_Intensity 30m     3   101506 0.0164    0.0021      0.498   -0.015
Hawkes_Intensity 30m     4   101506 0.0263    -0.0153     0.494   -0.021
Hawkes_Intensity 30m     5   101506 -0.0038   0.0088      0.499   0.003
Hawkes_Intensity 30m     6   101506 0.0077    -0.0002     0.507   0.010
Hawkes_Intensity 30m     7   101513 0.0601    0.0021      0.494   -0.013
Hawkes_Intensity 1h      0   101506 -0.0034   0.0195      0.495   -0.019
Hawkes_Intensity 1h      1   101506 0.0125    -0.0110     0.509   -0.005
Hawkes_Intensity 1h      2   101506 0.0238    0.0215      0.524   0.049
Hawkes_Intensity 1h      3   101506 0.0149    0.0076      0.496   -0.021
Hawkes_Intensity 1h      4   101506 0.0404    -0.0036     0.498   -0.027
Hawkes_Intensity 1h      5   101506 0.0024    0.0102      0.504   0.008
Hawkes_Intensity 1h      6   101506 -0.0001   -0.0115     0.509   0.012
Hawkes_Intensity 1h      7   101513 0.0941    0.0069      0.501   -0.021

Hawkes_OFI 15m 0 101506 -0.0474 -0.0207 0.496 0.000
Hawkes_OFI 15m 1 101506 -0.0255 -0.0287 0.493 -0.011
Hawkes_OFI 15m 2 101506 -0.0145 -0.0323 0.488 -0.011
