MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 15m     2091619 896409 0.0072    0.0019      0.505   9.39  0.000  -0.0        +0.2           +0.2            0.043    0.013 -0.0000
Hawkes_Intensity 30m     2091619 896409 0.0105    0.0044      0.508   15.42 0.000  +0.2        +0.5           +0.3            0.038    0.012 -0.0000
Hawkes_Intensity 1h      2091619 896409 0.0124    0.0061      0.511   21.73 0.000  +0.4        +1.0           +0.6            0.032    0.010 -0.0000

Hawkes_OFI 15m 2091619 896409 -0.0023 -0.0366 0.483 -31.57 -0.007 -0.3 -0.2 +0.2 0.027 0.008 -0.0006
Hawkes_OFI 30m 2091619 896409 -0.0035 -0.0361 0.484 -30.16 -0.009 -0.9 -0.4 +0.5 0.025 0.007 -0.0005
Hawkes_OFI 1h  2091619 896409 -0.0075 -0.0287 0.487 -24.97 -0.008 -2.4 -1.2 +1.1 0.020 0.006 -0.0003

Sig_LevyArea 15m 2091619 896409 0.0103 0.0093 0.505 9.40  0.000  +0.6 +0.6 +0.0 0.074 0.022 -0.0001
Sig_LevyArea 30m 2091619 896409 0.0176 0.0125 0.508 15.49 -0.000 +0.9 +1.1 +0.2 0.067 0.020 0.0000
Sig_LevyArea 1h  2091619 896409 0.0192 0.0135 0.512 21.84 0.000  +1.3 +1.7 +0.4 0.057 0.017 0.0000

Hilbert_Phase 15m 2091619 896409 -0.0013 -0.0277 0.481 -36.05 -0.002 -0.0 +0.1 +0.1 0.003 0.001 0.0005
Hilbert_Phase 30m 2091619 896409 0.0001  -0.0242 0.484 -30.87 -0.000 -0.1 +0.0 +0.1 0.002 0.001 0.0003
Hilbert_Phase 1h  2091619 896409 -0.0020 -0.0196 0.487 -25.53 -0.003 -0.2 -0.0 +0.2 0.001 0.000 0.0002



# Rolling OOS metrics (test segment only)
MODEL            HORIZON WIN Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- --- -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     0   112051 0.0173    0.0063      0.506   -0.002
Hawkes_Intensity 15m     1   112051 0.0052    -0.0033     0.502   -0.004
Hawkes_Intensity 15m     2   112051 0.0095    0.0001      0.504   0.001
Hawkes_Intensity 15m     3   112051 0.0190    0.0180      0.509   0.013
Hawkes_Intensity 15m     4   112051 -0.0056   -0.0113     0.492   -0.025
Hawkes_Intensity 15m     5   112051 -0.0078   0.0039      0.512   0.013
Hawkes_Intensity 15m     6   112051 0.0150    0.0021      0.518   0.028
Hawkes_Intensity 15m     7   112052 0.0162    -0.0112     0.498   -0.012
Hawkes_Intensity 30m     0   112051 0.0106    0.0001      0.509   -0.003
Hawkes_Intensity 30m     1   112051 0.0137    0.0022      0.506   -0.006
Hawkes_Intensity 30m     2   112051 0.0145    -0.0011     0.507   0.001
Hawkes_Intensity 30m     3   112051 0.0204    0.0214      0.511   0.017
Hawkes_Intensity 30m     4   112051 -0.0001   -0.0107     0.492   -0.036
Hawkes_Intensity 30m     5   112051 0.0017    0.0094      0.515   0.019
Hawkes_Intensity 30m     6   112051 0.0167    0.0028      0.525   0.039
Hawkes_Intensity 30m     7   112052 0.0145    -0.0039     0.501   -0.016
Hawkes_Intensity 1h      0   112051 0.0006    -0.0009     0.511   -0.004
Hawkes_Intensity 1h      1   112051 0.0117    -0.0120     0.503   -0.011
Hawkes_Intensity 1h      2   112051 0.0064    -0.0063     0.506   0.000
Hawkes_Intensity 1h      3   112051 0.0285    0.0312      0.518   0.021
Hawkes_Intensity 1h      4   112051 0.0131    0.0052      0.496   -0.047
Hawkes_Intensity 1h      5   112051 0.0037    0.0140      0.527   0.029
Hawkes_Intensity 1h      6   112051 0.0173    -0.0022     0.526   0.053
Hawkes_Intensity 1h      7   112052 0.0156    -0.0063     0.505   -0.022

Hawkes_OFI 15m 0 112051 -0.0032 -0.0308 0.485 0.006
Hawkes_OFI 15m 1 112051 0.0018  -0.0525 0.480 -0.016
Hawkes_OFI 15m 2 112051 -0.0112 -0.0370 0.487 -0.006
Hawkes_OFI 15m 3 112051 -0.0037 -0.0215 0.489 -0.005
Hawkes_OFI 15m 4 112051 -0.0149 -0.0462 0.481 -0.016
Hawkes_OFI 15m 5 112051 0.0148  -0.0492 0.477 -0.015
