MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 15m     1843123 789910 0.0241    -0.0018     0.502   3.92  0.000  +1.0        +1.1           +0.1            0.033    0.010 -0.0000
Hawkes_Intensity 30m     1843123 789910 0.0241    0.0011      0.503   5.69  -0.001 +2.4        +2.5           +0.1            0.029    0.009 -0.0000
Hawkes_Intensity 1h      1843123 789910 0.0241    0.0024      0.506   10.36 -0.001 +3.6        +3.9           +0.3            0.024    0.007 -0.0001

Hawkes_OFI 15m 1843123 789910 -0.0321 -0.0275 0.490 -18.27 -0.010 -3.1 -1.2 +1.9 0.014 0.004 0.0004
Hawkes_OFI 30m 1843123 789910 -0.0293 -0.0263 0.490 -17.16 -0.009 -3.9 -1.5 +2.4 0.012 0.004 0.0002
Hawkes_OFI 1h  1843123 789910 -0.0240 -0.0260 0.491 -16.58 -0.012 -5.4 -1.5 +3.9 0.009 0.003 0.0002

Sig_LevyArea 15m 1843123 789910 0.0299 0.0024 0.502 3.93  -0.000 +0.8 +0.9 +0.2 0.055 0.017 -0.0000
Sig_LevyArea 30m 1843123 789910 0.0379 0.0057 0.503 5.76  -0.000 +2.2 +2.5 +0.3 0.050 0.015 0.0001
Sig_LevyArea 1h  1843123 789910 0.0368 0.0060 0.506 10.40 -0.001 +3.9 +4.3 +0.4 0.043 0.013 0.0001

Hilbert_Phase 15m 1843123 789910 -0.0093 -0.0215 0.487 -23.66 -0.010 -0.5 -0.2 +0.2 0.001 0.000 0.0003
Hilbert_Phase 30m 1843123 789910 -0.0067 -0.0183 0.488 -20.74 -0.007 -0.2 -0.1 +0.1 0.001 0.000 0.0002
Hilbert_Phase 1h  1843123 789910 -0.0072 -0.0137 0.491 -15.43 -0.007 -0.3 -0.2 +0.1 0.001 0.000 0.0000



# Rolling OOS metrics (test segment only)
MODEL            HORIZON WIN Count PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- --- ----- --------- ----------- ------- ------
Hawkes_Intensity 15m     0   98738 0.0195    0.0048      0.504   0.010
Hawkes_Intensity 15m     1   98738 0.0424    -0.0047     0.498   -0.006
Hawkes_Intensity 15m     2   98738 0.0287    0.0094      0.512   0.017
Hawkes_Intensity 15m     3   98738 0.0062    -0.0022     0.495   -0.009
Hawkes_Intensity 15m     4   98738 0.0216    -0.0142     0.495   -0.005
Hawkes_Intensity 15m     5   98738 -0.0043   0.0007      0.506   0.004
Hawkes_Intensity 15m     6   98738 0.0100    -0.0012     0.508   0.006
Hawkes_Intensity 15m     7   98744 0.0575    -0.0032     0.500   -0.010
Hawkes_Intensity 30m     0   98738 0.0251    0.0127      0.502   0.014
Hawkes_Intensity 30m     1   98738 0.0359    -0.0060     0.496   -0.010
Hawkes_Intensity 30m     2   98738 0.0306    0.0120      0.514   0.023
Hawkes_Intensity 30m     3   98738 0.0007    -0.0003     0.493   -0.013
Hawkes_Intensity 30m     4   98738 0.0389    -0.0087     0.499   -0.008
Hawkes_Intensity 30m     5   98738 0.0005    -0.0020     0.509   0.007
Hawkes_Intensity 30m     6   98738 0.0010    -0.0046     0.510   0.006
Hawkes_Intensity 30m     7   98744 0.0556    0.0099      0.502   -0.013
Hawkes_Intensity 1h      0   98738 0.0288    0.0094      0.503   0.017
Hawkes_Intensity 1h      1   98738 0.0306    -0.0138     0.499   -0.018
Hawkes_Intensity 1h      2   98738 0.0331    0.0238      0.526   0.033
Hawkes_Intensity 1h      3   98738 0.0033    0.0048      0.493   -0.017
Hawkes_Intensity 1h      4   98738 0.0435    0.0004      0.499   -0.009
Hawkes_Intensity 1h      5   98738 -0.0034   -0.0065     0.512   0.014
Hawkes_Intensity 1h      6   98738 0.0036    -0.0040     0.510   0.007
Hawkes_Intensity 1h      7   98744 0.0533    0.0115      0.504   -0.019

Hawkes_OFI 15m 0 98738 -0.0417 -0.0500 0.482 -0.023
Hawkes_OFI 15m 1 98738 -0.0405 -0.0270 0.489 -0.013
Hawkes_OFI 15m 2 98738 -0.0516 -0.0446 0.484 -0.024
Hawkes_OFI 15m 3 98738 0.0033  -0.0135 0.493 0.003
Hawkes_OFI 15m 4 98738 -0.0464 -0.0371 0.486 -0.020
Hawkes_OFI 15m 5 98738 0.0111  -0.0130 0.494 0.001
