MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 15m     2086307 894132 0.0283    0.0077      0.504   7.49  0.005  +2.4        +2.3           -0.1            0.078    0.024 -0.0000
Hawkes_Intensity 30m     2086307 894132 0.0323    0.0124      0.506   11.15 0.007  +4.7        +4.4           -0.3            0.075    0.022 0.0000
Hawkes_Intensity 1h      2086307 894132 0.0438    0.0166      0.507   13.66 0.011  +8.4        +8.2           -0.2            0.069    0.021 0.0001

Hawkes_OFI 15m 2086307 894132 -0.0228 -0.0233 0.494 -11.54 -0.009 -2.2 +0.3 +2.5 0.033 0.010 -0.0000
Hawkes_OFI 30m 2086307 894132 -0.0420 -0.0234 0.494 -10.74 -0.010 -4.1 +0.5 +4.6 0.032 0.010 0.0001
Hawkes_OFI 1h  2086307 894132 -0.0428 -0.0223 0.494 -11.73 -0.014 -6.7 +0.9 +7.6 0.030 0.009 0.0000

Sig_LevyArea 15m 2086307 894132 0.0382 0.0119 0.504 7.73  0.005 +2.9 +2.6 -0.3 0.119 0.036 0.0001
Sig_LevyArea 30m 2086307 894132 0.0565 0.0161 0.506 11.29 0.007 +5.3 +4.8 -0.4 0.113 0.034 0.0002
Sig_LevyArea 1h  2086307 894132 0.0630 0.0187 0.507 13.87 0.012 +9.6 +8.4 -1.2 0.106 0.032 0.0002

Hilbert_Phase 15m 2086307 894132 -0.0061 -0.0254 0.485 -28.91 -0.006 -0.3 -0.1 +0.1 0.001 0.000 0.0003
Hilbert_Phase 30m 2086307 894132 -0.0079 -0.0261 0.485 -29.00 -0.008 -0.8 -0.1 +0.7 0.001 0.000 0.0004
Hilbert_Phase 1h  2086307 894132 -0.0081 -0.0206 0.488 -22.83 -0.008 -1.1 +0.3 +1.4 0.001 0.000 0.0002



# Rolling OOS metrics (test segment only)
MODEL            HORIZON WIN Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- --- -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     0   111766 0.0261    0.0207      0.511   -0.002
Hawkes_Intensity 15m     1   111766 0.0272    0.0100      0.507   0.002
Hawkes_Intensity 15m     2   111766 0.0503    0.0050      0.505   0.006
Hawkes_Intensity 15m     3   111766 0.0262    0.0134      0.513   0.032
Hawkes_Intensity 15m     4   111766 0.0411    -0.0033     0.490   -0.013
Hawkes_Intensity 15m     5   111766 0.0270    0.0067      0.504   0.005
Hawkes_Intensity 15m     6   111766 0.0238    0.0084      0.511   0.017
Hawkes_Intensity 15m     7   111770 0.0109    0.0005      0.490   -0.007
Hawkes_Intensity 30m     0   111766 0.0286    0.0235      0.513   -0.001
Hawkes_Intensity 30m     1   111766 0.0345    0.0109      0.511   0.001
Hawkes_Intensity 30m     2   111766 0.0628    0.0102      0.507   0.009
Hawkes_Intensity 30m     3   111766 0.0139    0.0171      0.516   0.044
Hawkes_Intensity 30m     4   111766 0.0589    0.0014      0.490   -0.018
Hawkes_Intensity 30m     5   111766 0.0297    0.0115      0.503   0.006
Hawkes_Intensity 30m     6   111766 0.0180    0.0134      0.519   0.022
Hawkes_Intensity 30m     7   111770 0.0450    0.0058      0.488   -0.011
Hawkes_Intensity 1h      0   111766 0.0276    0.0350      0.514   0.002
Hawkes_Intensity 1h      1   111766 0.0343    0.0065      0.511   0.000
Hawkes_Intensity 1h      2   111766 0.0868    0.0147      0.510   0.011
Hawkes_Intensity 1h      3   111766 0.0195    0.0279      0.524   0.065
Hawkes_Intensity 1h      4   111766 0.0747    0.0106      0.488   -0.022
Hawkes_Intensity 1h      5   111766 0.0279    0.0147      0.505   0.012
Hawkes_Intensity 1h      6   111766 0.0176    0.0037      0.516   0.030
Hawkes_Intensity 1h      7   111770 0.0898    0.0064      0.490   -0.017

Hawkes_OFI 15m 0 111766 -0.0242 -0.0294 0.489 -0.010
Hawkes_OFI 15m 1 111766 -0.0387 -0.0153 0.497 -0.020
Hawkes_OFI 15m 2 111766 -0.0077 0.0077  0.508 0.002
