=== QuantDev Winning Math Report ===
Generated: 2025-12-04T12:57:18-06:00
BaseDir:  data
OOS Cut:  2024-01-01 (YMD=20240101)


==================================================
SYMBOL: BTCUSDT
==================================================

-- BTCUSDT | Horizon: 0.500s (500 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    IS   48439754  0.0762  0.061   0.555    0.68     0.871     0.815        92.63   20369
Force_DEMA_15s    OOS  22537460  0.1981  0.136   0.637    2.33     0.942     0.914        116.45  9225
Impulse_15s       IS   48439754  0.0572  0.046   0.541    0.52     0.864     0.813        138.41  22444
Impulse_15s       OOS  22537460  0.1600  0.114   0.609    1.89     0.940     0.914        176.69  12101
OFI_Cubic_15s     IS   48439754  0.0327  0.026   0.529    10.33    0.997     0.998        340.74  29050
OFI_Cubic_15s     OOS  22537460  0.0850  0.065   0.574    27.01    0.998     0.999        432.69  15223
OFI_DEMA_15s      IS   48439754  0.0589  0.055   0.555    5.41     0.987     0.986        92.63   20369
OFI_DEMA_15s      OOS  22537460  0.1401  0.111   0.637    14.41    0.995     0.994        116.45  9225
OFI_DEMA_5s       IS   48439754  0.0863  0.079   0.582    4.79     0.976     0.975        42.68   9378
OFI_DEMA_5s       OOS  22537460  0.1731  0.121   0.688    12.10    0.991     0.991        52.21   7841
OFI_EMA_15s       IS   48439754  0.0458  0.044   0.541    5.53     0.990     0.989        138.41  22444
OFI_EMA_15s       OOS  22537460  0.1224  0.102   0.609    15.58    0.996     0.996        176.69  12101
OFI_RSI_15s       IS   48439754  0.0524  0.059   0.541    4.82     0.994     0.990        138.41  22444
OFI_RSI_15s       OOS  22537460  0.1548  0.156   0.609    13.54    0.996     0.992        176.69  12101
OFI_Raw           IS   48439754  0.0709  0.036   0.555    0.30     0.109     0.093        3.11    1103
OFI_Raw           OOS  22537460  0.0937  0.052   0.694    0.35     0.065     0.060        3.94    1967
OFI_TEMA_15s      IS   48439754  0.0679  0.063   0.563    5.26     0.984     0.983        71.34   15912
OFI_TEMA_15s      OOS  22537460  0.1510  0.116   0.654    13.66    0.994     0.993        89.21   8509
Sniper_Composite  IS   48439754  0.0403  0.032   0.529    8.68     0.996     0.996        320.43  29050
Sniper_Composite  OOS  22537460  0.0972  0.075   0.575    23.38    0.998     0.998        420.90  15223
TCI_DEMA_15s      IS   48439754  0.0345  0.048   0.528    1.18     0.990     0.981        52.41   19093
TCI_DEMA_15s      OOS  22537460  0.0759  0.078   0.565    2.19     0.995     0.987        62.85   21454
TCI_EMA_15s       IS   48439754  0.0210  0.030   0.520    1.09     0.995     0.990        78.93   20009
TCI_EMA_15s       OOS  22537460  0.0521  0.055   0.548    2.34     0.998     0.995        98.00   28066
TCI_Raw           IS   48439754  0.1406  0.142   0.555    0.38     0.357     0.000        3.11    1103
TCI_Raw           OOS  22537460  0.3204  0.338   0.694    0.77     0.492     0.000        3.94    1967
Vel_Inst          IS   48439754  0.1074  0.072   0.555    0.30     0.381     0.286        3.11    1103
Vel_Inst          OOS  22537460  0.1924  0.112   0.694    0.44     0.290     0.239        3.94    1967

-- BTCUSDT | Horizon: 1.000s (1000 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    IS   48439754  0.0728  0.059   0.552    0.81     0.871     0.815        92.63   20369
Force_DEMA_15s    OOS  22537460  0.1789  0.131   0.629    2.47     0.942     0.914        116.45  9225
Impulse_15s       IS   48439754  0.0554  0.045   0.539    0.63     0.864     0.813        138.41  22444
Impulse_15s       OOS  22537460  0.1448  0.110   0.602    2.01     0.940     0.914        176.69  12101
OFI_Cubic_15s     IS   48439754  0.0328  0.026   0.527    12.91    0.997     0.998        340.74  29050
OFI_Cubic_15s     OOS  22537460  0.0812  0.063   0.570    30.21    0.998     0.999        432.69  15223
OFI_DEMA_15s      IS   48439754  0.0573  0.055   0.552    6.56     0.987     0.986        92.63   20369
OFI_DEMA_15s      OOS  22537460  0.1291  0.106   0.629    15.56    0.995     0.994        116.45  9225
OFI_DEMA_5s       IS   48439754  0.0812  0.075   0.576    5.62     0.976     0.975        42.68   9378
OFI_DEMA_5s       OOS  22537460  0.1587  0.115   0.676    12.99    0.991     0.991        52.21   7841
OFI_EMA_15s       IS   48439754  0.0451  0.045   0.539    6.79     0.990     0.989        138.41  22444
OFI_EMA_15s       OOS  22537460  0.1127  0.096   0.602    16.80    0.996     0.996        176.69  12101
OFI_RSI_15s       IS   48439754  0.0500  0.057   0.539    5.74     0.994     0.990        138.41  22444
OFI_RSI_15s       OOS  22537460  0.1423  0.149   0.602    14.58    0.996     0.992        176.69  12101
OFI_Raw           IS   48439754  0.0656  0.038   0.553    0.34     0.109     0.093        3.11    1103
OFI_Raw           OOS  22537460  0.0832  0.047   0.681    0.36     0.065     0.060        3.94    1967
OFI_TEMA_15s      IS   48439754  0.0653  0.061   0.560    6.32     0.984     0.983        71.34   15912
OFI_TEMA_15s      OOS  22537460  0.1392  0.110   0.644    14.74    0.994     0.993        89.21   8509
Sniper_Composite  IS   48439754  0.0399  0.032   0.528    10.73    0.996     0.996        320.43  29050
Sniper_Composite  OOS  22537460  0.0921  0.072   0.570    25.96    0.998     0.998        420.90  15223
TCI_DEMA_15s      IS   48439754  0.0360  0.050   0.528    1.53     0.990     0.981        52.41   19093
TCI_DEMA_15s      OOS  22537460  0.0728  0.075   0.563    2.47     0.995     0.987        62.85   21454
TCI_EMA_15s       IS   48439754  0.0227  0.032   0.520    1.46     0.995     0.990        78.93   20009
TCI_EMA_15s       OOS  22537460  0.0489  0.053   0.546    2.57     0.998     0.995        98.00   28066
TCI_Raw           IS   48439754  0.1233  0.124   0.553    0.41     0.357     0.000        3.11    1103
TCI_Raw           OOS  22537460  0.2942  0.308   0.681    0.83     0.492     0.000        3.94    1967
Vel_Inst          IS   48439754  0.0956  0.066   0.553    0.33     0.381     0.286        3.11    1103
Vel_Inst          OOS  22537460  0.1674  0.101   0.681    0.45     0.290     0.239        3.94    1967

-- BTCUSDT | Horizon: 2.000s (2000 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    IS   48439754  0.0623  0.052   0.547    0.93     0.871     0.815        92.63   20369
Force_DEMA_15s    OOS  22537460  0.1616  0.127   0.617    2.67     0.942     0.914        116.45  9225
Impulse_15s       IS   48439754  0.0471  0.039   0.535    0.71     0.864     0.813        138.41  22444
Impulse_15s       OOS  22537460  0.1315  0.104   0.593    2.18     0.940     0.914        176.69  12101
OFI_Cubic_15s     IS   48439754  0.0281  0.022   0.524    14.78    0.997     0.998        340.74  29050
OFI_Cubic_15s     OOS  22537460  0.0747  0.059   0.563    33.31    0.998     0.999        432.69  15223
OFI_DEMA_15s      IS   48439754  0.0509  0.049   0.547    7.78     0.987     0.986        92.63   20369
OFI_DEMA_15s      OOS  22537460  0.1198  0.100   0.617    17.29    0.995     0.994        116.45  9225
OFI_DEMA_5s       IS   48439754  0.0699  0.067   0.566    6.47     0.976     0.975        42.68   9378
OFI_DEMA_5s       OOS  22537460  0.1459  0.113   0.658    14.31    0.991     0.991        52.21   7841
OFI_EMA_15s       IS   48439754  0.0402  0.040   0.535    8.10     0.990     0.989        138.41  22444
OFI_EMA_15s       OOS  22537460  0.1045  0.090   0.593    18.68    0.996     0.996        176.69  12101
OFI_RSI_15s       IS   48439754  0.0428  0.049   0.535    6.57     0.994     0.990        138.41  22444
OFI_RSI_15s       OOS  22537460  0.1302  0.141   0.593    15.98    0.996     0.992        176.69  12101
OFI_Raw           IS   48439754  0.0561  0.035   0.550    0.39     0.109     0.093        3.11    1103
OFI_Raw           OOS  22537460  0.0745  0.046   0.662    0.39     0.065     0.060        3.94    1967
OFI_TEMA_15s      IS   48439754  0.0576  0.055   0.553    7.44     0.984     0.983        71.34   15912
OFI_TEMA_15s      OOS  22537460  0.1287  0.105   0.630    16.33    0.994     0.993        89.21   8509
Sniper_Composite  IS   48439754  0.0344  0.027   0.525    12.36    0.996     0.996        320.43  29050
Sniper_Composite  OOS  22537460  0.0849  0.067   0.564    28.67    0.998     0.998        420.90  15223
TCI_DEMA_15s      IS   48439754  0.0339  0.048   0.526    1.93     0.990     0.981        52.41   19093
TCI_DEMA_15s      OOS  22537460  0.0695  0.076   0.558    2.82     0.995     0.987        62.85   21454
TCI_EMA_15s       IS   48439754  0.0219  0.032   0.519    1.89     0.995     0.990        78.93   20009
TCI_EMA_15s       OOS  22537460  0.0463  0.053   0.542    2.93     0.998     0.995        98.00   28066
TCI_Raw           IS   48439754  0.1039  0.104   0.550    0.47     0.357     0.000        3.11    1103
TCI_Raw           OOS  22537460  0.2679  0.278   0.662    0.90     0.492     0.000        3.94    1967
Vel_Inst          IS   48439754  0.0812  0.057   0.550    0.37     0.381     0.286        3.11    1103
Vel_Inst          OOS  22537460  0.1484  0.094   0.662    0.48     0.290     0.239        3.94    1967

-- BTCUSDT | Horizon: 5.000s (5000 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    IS   48439754  0.0374  0.032   0.534    0.84     0.871     0.815        92.63   20369
Force_DEMA_15s    OOS  22537460  0.1224  0.102   0.592    2.72     0.942     0.914        116.45  9225
Impulse_15s       IS   48439754  0.0260  0.023   0.525    0.59     0.864     0.813        138.41  22444
Impulse_15s       OOS  22537460  0.0987  0.081   0.574    2.20     0.940     0.914        176.69  12101
OFI_Cubic_15s     IS   48439754  0.0149  0.012   0.517    11.85    0.997     0.998        340.74  29050
OFI_Cubic_15s     OOS  22537460  0.0577  0.045   0.551    34.59    0.998     0.999        432.69  15223
OFI_DEMA_15s      IS   48439754  0.0353  0.037   0.534    8.16     0.987     0.986        92.63   20369
OFI_DEMA_15s      OOS  22537460  0.0930  0.078   0.592    18.06    0.995     0.994        116.45  9225
OFI_DEMA_5s       IS   48439754  0.0496  0.053   0.548    6.95     0.976     0.975        42.68   9378
OFI_DEMA_5s       OOS  22537460  0.1127  0.090   0.623    14.87    0.991     0.991        52.21   7841
OFI_EMA_15s       IS   48439754  0.0265  0.028   0.525    8.07     0.990     0.989        138.41  22444
OFI_EMA_15s       OOS  22537460  0.0812  0.070   0.574    19.51    0.996     0.996        176.69  12101
OFI_RSI_15s       IS   48439754  0.0238  0.028   0.525    5.52     0.994     0.990        138.41  22444
OFI_RSI_15s       OOS  22537460  0.1032  0.114   0.574    17.03    0.996     0.992        176.69  12101
OFI_Raw           IS   48439754  0.0378  0.025   0.541    0.40     0.109     0.093        3.11    1103
OFI_Raw           OOS  22537460  0.0566  0.039   0.627    0.40     0.065     0.060        3.94    1967
