=== QuantDev Streaming Winning Math Report ===
Generated: 2025-12-04T15:25:34-06:00
BaseDir:  data
OOS Cut:  2024-01-01 (YMD=20240101)

==================================================
SYMBOL: BTCUSDT
==================================================

-- BTCUSDT | Horizon: 0.500s (500 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	48439754	0.0762	37.122	0.061	0.555	0.68	0.871	0.815	92.63	20369	-0.0086	15.2088	0.000000	0.000173	0.000200	0.003307
Force_DEMA_15s  	OOS	22537460	0.1981	47.990	0.136	0.637	2.33	0.942	0.914	116.45	9225	-0.0557	14.6733	0.000000	0.000122	0.000355	0.002615
Impulse_15s     	IS	48439754	0.0572	31.170	0.046	0.541	0.52	0.864	0.813	138.41	22444	0.0041	12.1704	0.000000	0.000173	0.000120	0.002610
Impulse_15s     	OOS	22537460	0.1600	40.831	0.114	0.609	1.89	0.940	0.914	176.69	12101	-0.0864	10.9292	0.000000	0.000122	0.000213	0.001867
OFI_Cubic_15s   	IS	48439754	0.0327	26.242	0.026	0.529	10.33	0.997	0.998	340.74	29050	0.0006	2.7652	0.000000	0.000173	0.000016	0.000602
OFI_Cubic_15s   	OOS	22537460	0.0850	32.348	0.065	0.574	27.01	0.998	0.999	432.69	15223	-0.0167	2.3503	0.000000	0.000122	0.000024	0.000377
OFI_DEMA_15s    	IS	48439754	0.0589	40.651	0.055	0.555	5.41	0.987	0.986	92.63	20369	0.0011	0.3948	0.000000	0.000173	0.000004	0.000073
OFI_DEMA_15s    	OOS	22537460	0.1401	46.464	0.111	0.637	14.41	0.995	0.994	116.45	9225	-0.0038	0.2913	0.000000	0.000122	0.000005	0.000045
OFI_DEMA_5s     	IS	48439754	0.0863	54.892	0.079	0.582	4.79	0.976	0.975	42.68	9378	0.0015	0.6795	0.000000	0.000173	0.000010	0.000128
OFI_DEMA_5s     	OOS	22537460	0.1731	57.789	0.121	0.688	12.10	0.991	0.991	52.21	7841	-0.0061	0.6057	0.000000	0.000122	0.000013	0.000105
OFI_EMA_15s     	IS	48439754	0.0458	33.911	0.044	0.541	5.53	0.990	0.989	138.41	22444	0.0010	0.2607	0.000000	0.000173	0.000002	0.000046
OFI_EMA_15s     	OOS	22537460	0.1224	40.705	0.102	0.609	15.58	0.996	0.996	176.69	12101	-0.0027	0.1761	0.000000	0.000122	0.000003	0.000026
OFI_RSI_15s     	IS	48439754	0.0524	36.601	0.059	0.541	4.82	0.994	0.990	138.41	22444	0.0006	0.4112	0.000000	0.000173	0.000004	0.000063
OFI_RSI_15s     	OOS	22537460	0.1548	47.291	0.156	0.609	13.54	0.996	0.992	176.69	12101	-0.0050	0.4577	0.000000	0.000122	0.000009	0.000055
OFI_Raw         	IS	48439754	0.0709	90.854	0.036	0.555	0.30	0.109	0.093	3.11	1103	-0.0011	1.2637	0.000000	0.000173	0.000015	0.000425
